Family,Subfamily,Tribe,Genus,Species,Subspecies,Accession#,Country,Flag,user-supplied name,valid name
Lycaenidae,,,Eumaeus,godartii  ,,08-SRNP-22420,Costa Rica,Valid Name,,Eumaeus godartii
Lycaenidae,,,Eumaeus,godartii  ,,08-SRNP-22458,Costa Rica,Valid Name,,Eumaeus godartii
Lycaenidae,,,Eumaeus,godartii  ,,08-SRNP-71894,Costa Rica,Valid Name,,Eumaeus godartii
Lycaenidae,,,Strymon,Strymon,megarus,09-SRNP-12268,Costa Rica,Not Found,,
Lycaenidae,,,Strymon,Strymon,megarus,09-SRNP-12271,Costa Rica,Not Found,,
Lycaenidae,,,Strymon,Strymon,megarus,09-SRNP-12273,Costa Rica,Not Found,,
Lycaenidae,Curetinae,,Curetis,bulis,stigmata,MWT-93-A028,Malaysia,Valid Name,,Curetis bulis
Lycaenidae,Lycaeninae,,Lycaena,dispar,,SWC-09-5016,Korea,Valid Name,,Lycaena dispar
Lycaenidae,Lycaeninae,,Lycaena,phlaeas,,SWC-09-5017,Korea,Valid Name,,Lycaena phlaeas
Lycaenidae,Lycaeninae,Polyommatini,Pseudozizeeria,maha,,AYK-04-5608,Japan,Valid Name,,Pseudozizeeria maha
Lycaenidae,Miletinae,Liphyrini,Liphyra,brassolis,,KD-94-T063,Australia,Synonym,,Liphyra brassolis
Lycaenidae,Polyommatinae,,Celastrina,argiolus,,SWC-09-5020,Korea,Valid Name,,Celastrina argiolus
Lycaenidae,Polyommatinae,,Cupido,argiades,,SWC-09-5019,Korea,Valid Name,,Cupido argiades
Lycaenidae,Polyommatinae,Polyommatini,Pseudolucia,collina,,AYK-04-0533-3,Chile,Valid Name,,Pseudolucia collina
Lycaenidae,Theclinae,,Rapala,caerulea,,SWC-09-5015,Korea,Valid Name,,Rapala caerulea
Lycaenidae,Theclinae,,Theritas,hemon,,08-SRNP-32941,Costa Rica,Valid Name,,Theritas hemon
Lycaenidae,Theclinae,,Theritas ,hemon,,08-SRNP-32933,Costa Rica,Valid Name,,Theritas hemon
Lycaenidae,Theclinae,,Theritas ,hemon,,08-SRNP-32935,Costa Rica,Valid Name,,Theritas hemon
Lycaenidae,Theclinae,Arhopalini,Arhopala,japonica,,AYK-04-5616,Japan,Valid Name,,Arhopala japonica
Lycaenidae,Theclinae,Eumaeini,Brangas,neora,,05-srnp-19467,Costa Rica,Valid Name,,Brangas neora
Lycaenidae,Theclinae,Eumaeini,Brangas,neora,,05-srnp-19469,Costa Rica,Valid Name,,Brangas neora
Lycaenidae,Theclinae,Eumaeini,Brangas,neora,,06-SRNP-36914,Costa Rica,Valid Name,,Brangas neora
